opcode,avg_cycles,median_cycles
ADD,2,3
ADDMOD,0,1
ADDRESS,50,3
AND,0,1
BALANCE,28,5
BASEFEE,0,1
BLOBBASEFEE,1,1
BLOBHASH,24,2
BLOCKHASH,2,2
BYTE,0,1
CALL,32,8
CALLCODE,7,7
CALLDATACOPY,2,2
CALLDATALOAD,26,2
CALLDATASIZE,1,1
CALLER,3,3
CALLF,0,0
CALLVALUE,0,1
CHAINID,1,1
CODECOPY,2,2
CODESIZE,2,2
COINBASE,2,3
CREATE,1,2
CREATE2,2,2
DATACOPY,0,0
DATALOAD,0,0
DATALOADN,0,1
DATASIZE,0,1
DELEGATECALL,7,7
DIFFICULTY,2,2
DIV,0,1
DUP1,1,1
DUP10,1,1
DUP11,1,1
DUP12,1,1
DUP13,1,1
DUP14,1,1
DUP15,1,1
DUP16,1,1
DUP2,1,1
DUP3,1,1
DUP4,1,1
DUP5,1,1
DUP6,1,1
DUP7,1,1
DUP8,1,1
DUP9,1,1
DUPN,0,1
EOFCREATE,23,0
EQ,0,1
EXCHANGE,0,1
EXP,0,1
EXTCALL,0,0
EXTCODECOPY,4,4
EXTCODEHASH,6,6
EXTCODESIZE,28,5
EXTDELEGATECALL,0,1
EXTSTATICCALL,0,1
GAS,1,1
GASLIMIT,0,1
GASPRICE,1,1
GT,0,0
INVALID,0,0
ISZERO,1,1
JUMP,1,1
JUMPDEST,0,1
JUMPF,0,0
JUMPI,24,1
KECCAK256,0,0
LOG0,1,1
LOG1,1,1
LOG2,1,1
LOG3,1,1
LOG4,1,1
LT,0,0
MCOPY,0,0
MLOAD,73,4
MOD,0,1
MSIZE,1,1
MSTORE,47,1
MSTORE8,3,3
MUL,4,5
MULMOD,0,0
NOT,2,3
NUMBER,0,1
OR,0,1
ORIGIN,3,3
PC,23,1
POP,0,1
PUSH0,0,1
PUSH1,6,5
PUSH10,5,5
PUSH11,5,5
PUSH12,4,5
PUSH13,5,5
PUSH14,5,5
PUSH15,5,5
PUSH16,5,5
PUSH17,6,6
PUSH18,5,6
PUSH19,6,6
PUSH2,4,5
PUSH20,6,6
PUSH21,5,6
PUSH22,5,5
PUSH23,6,6
PUSH24,5,6
PUSH25,6,6
PUSH26,6,7
PUSH27,6,7
PUSH28,6,6
PUSH29,6,7
PUSH3,4,4
PUSH30,6,6
PUSH31,6,6
PUSH32,7,7
PUSH4,4,4
PUSH5,4,4
PUSH6,4,4
PUSH7,4,5
PUSH8,4,4
PUSH9,5,5
RETF,0,0
RETURN,1,1
RETURNCONTRACT,0,0
RETURNDATACOPY,0,1
RETURNDATALOAD,0,0
RETURNDATASIZE,1,1
REVERT,3,3
RJUMP,0,0
RJUMPI,0,0
RJUMPV,0,1
SAR,0,1
SDIV,0,1
SELFBALANCE,1,1
SELFDESTRUCT,5,5
SGT,0,0
SHL,0,1
SHR,0,1
SIGNEXTEND,0,1
SLOAD,127,11
SLT,0,1
SMOD,0,1
SSTORE,35,12
STATICCALL,9,9
STOP,0,0
SUB,2,2
SWAP1,1,1
SWAP10,1,1
SWAP11,2,2
SWAP12,1,2
SWAP13,1,2
SWAP14,1,2
SWAP15,1,2
SWAP16,1,1
SWAP2,1,2
SWAP3,1,1
SWAP4,1,2
SWAP5,1,2
SWAP6,1,2
SWAP7,1,2
SWAP8,1,2
SWAP9,1,2
SWAPN,0,0
TIMESTAMP,0,1
TLOAD,9,10
TSTORE,11,11
XOR,0,0
